local_timestamp,utc_timestamp,Aggregate AC Energy (kWh),Aggregate NOx (lbs),CO2 (lbs),SO2 (lbs)
11/1/16,11/1/16,2239,4.2541,2989.065,10.7472
11/2/16,11/2/16,1988,3.7772,2653.98,9.5424
11/3/16,11/3/16,1764,3.3516,2354.94,8.4672
11/4/16,11/4/16,2327,4.4213,3106.545,11.1696
11/5/16,11/5/16,2249,4.2731,3002.415,10.7952
11/6/16,11/6/16,2050,3.895,2736.75,9.84
11/7/16,11/7/16,1907,3.6233,2545.845,9.1536
11/8/16,11/8/16,1188,2.2572,1585.98,5.7024
11/9/16,11/9/16,2012,3.8228,2686.02,9.6576
11/10/16,11/10/16,2424,4.6056,3236.04,11.6352
11/11/16,11/11/16,1827,3.4713,2439.045,8.7696
11/12/16,11/12/16,2009,3.8171,2682.015,9.6432
11/13/16,11/13/16,1909,3.6271,2548.515,9.1632
11/14/16,11/14/16,1864,3.5416,2488.44,8.9472
11/15/16,11/15/16,1554,2.9526,2074.59,7.4592
11/16/16,11/16/16,2173,4.1287,2900.955,10.4304
11/17/16,11/17/16,2117,4.0223,2826.195,10.1616
11/18/16,11/18/16,2073,3.9387,2767.455,9.9504
11/19/16,11/19/16,1938,3.6822,2587.23,9.3024
11/20/16,11/20/16,2381,4.5239,3178.635,11.4288
11/21/16,11/21/16,2310,4.389,3083.85,11.088
11/22/16,11/22/16,1905,3.6195,2543.175,9.144
11/23/16,11/23/16,1582,3.0058,2111.97,7.5936
11/24/16,11/24/16,1375,2.6125,1835.625,6.6
11/25/16,11/25/16,1023,1.9437,1365.705,4.9104
11/26/16,11/26/16,1786,3.3934,2384.31,8.5728
11/27/16,11/27/16,1755,3.3345,2342.925,8.424
11/28/16,11/28/16,1137,2.1603,1517.895,5.4576
11/29/16,11/29/16,1616,3.0704,2157.36,7.7568
11/30/16,11/30/16,109,0.2071,145.515,0.5232
